well,gfp_mcherry,gfp_nir,para
A01,5.238217213114754,2.5679221166136488,1_1
A01,3.379012978142076,1.718355069051349,1_2
A01,1.989412568306011,1.027361056384727,1_4
A01,1.5753073770491801,0.7995925153527529,1_6
A01,1.3191598360655739,0.6563962595984738,1_8
A01,1.1270491803278688,0.5420314647343181,1_10
A01,0.9754952185792349,0.4613033742419728,1_12
A01,0.8516905737704918,0.4094067446397509,1_14
A01,0.7940573770491803,0.36808165069724086,1_16
A01,0.7236168032786885,0.3257955080583933,1_18
A01,0.6595799180327869,0.29408090107925766,1_20
A01,8.870093255259164,3.4419683112198896,2_1
A01,5.721824622280055,2.3032332861007343,2_2
A01,3.3687558736355094,1.37704495684658,2_4
A01,2.6675341574495772,1.0717506118768518,2_6
A01,2.2337887659943614,0.8798145047017906,2_8
A01,1.9084797224029493,0.7265232513203659,2_10
A01,1.6518470324586136,0.6183176606981836,2_12
A01,1.4422034265885926,0.548756923869638,2_14
A01,1.344610713511169,0.4933659667654257,2_16
A01,1.2253307308609847,0.43668684786809225,2_18
A01,1.1168943829971807,0.3941775086950921,2_20
A01,37.76744186046512,13.20754716981132,4_1
A01,24.34108527131783,8.864457980488288,4_2
A01,14.387596899224805,5.2939137324815535,4_4
A01,11.410852713178295,4.120239687020255,4_6
A01,9.565891472868216,3.3823602238399446,4_8
A01,8.170542635658915,2.7930470955281534,4_10
A01,7.0852713178294575,2.3770613578963005,4_12
A01,6.186046511627907,2.109641955132967,4_14
A01,5.767441860465116,1.8966968751547564,4_16
A01,5.2558139534883725,1.6787995840142622,4_18
A01,4.790697674418604,1.5153766156588917,4_20
A01,72.02962962962964,29.46011997333926,6_1
A01,46.31111111111111,19.57342812708287,6_2
A01,27.525925925925925,11.752943790268828,6_4
A01,21.80740740740741,9.197956009775606,6_6
A01,18.28148148148148,7.553876916240836,6_8
A01,15.614814814814814,6.2319484558986895,6_10
A01,13.540740740740741,5.298822483892468,6_12
A01,11.822222222222223,4.710064430126638,6_14
A01,11.022222222222222,4.232392801599644,6_16
A01,10.044444444444444,3.7547211730726504,6_18
A01,9.155555555555555,3.388135969784492,6_20
A01,97.70531400966183,47.740774077407735,8_1
A01,63.00322061191627,31.71917191719172,8_2
A01,37.31884057971014,19.045904590459045,8_4
A01,29.508856682769725,14.905490549054907,8_6
A01,24.838969404186795,12.241224122412241,8_8
A01,21.215780998389693,10.099009900990099,8_10
A01,18.397745571658618,8.586858685868586,8_12
A01,16.062801932367147,7.6327632763276325,8_14
A01,14.975845410628018,6.858685868586859,8_16
A01,13.647342995169081,6.084608460846084,8_18
A01,12.439613526570048,5.4905490549054905,8_20
A01,114.82709616295594,65.44735541275334,10_1
A01,74.08810990052108,43.623331685615426,10_2
A01,43.72335386072951,26.00098863074642,10_4
A01,34.628138323069635,20.415224913494807,10_6
A01,29.133112269066793,16.80672268907563,10_8
A01,24.964471814306016,13.84083044982699,10_10
A01,21.64850781620085,11.789421651013345,10_12
A01,18.900994789199434,10.479485912011864,10_14
A01,17.62198010421601,9.416707859614434,10_16
A01,16.05873993368072,8.353929807217005,10_18
A01,14.637612505921362,7.538309441423628,10_20
A01,125.19561815336463,81.40178296956655,12_1
A01,81.16849243609808,54.25760836151245,12_2
A01,47.88732394366197,32.33937903473716,12_4
A01,37.97600417318727,25.391945896095912,12_6
A01,31.820552947313512,20.903781125115277,12_8
A01,27.282211789254042,17.214878573624347,12_10
A01,23.630672926447573,14.663387642176454,12_12
A01,20.81377151799687,13.03412234860129,12_14
A01,19.405320813771517,11.712265600983706,12_16
A01,17.683881064162755,10.390408853366123,12_18
A01,16.118935837245697,9.375960651706118,12_20
A01,135.38722442057662,95.01255830642268,14_1
A01,87.167891464104,63.329745245784,14_2
A01,51.55455059355568,37.74668101901686,14_4
A01,40.92707744488411,29.637603157517045,14_6
A01,34.36970039570379,24.398995335486187,14_8
A01,29.451667608818543,20.09329027628274,14_10
A01,25.551158846806103,17.115177610333692,14_12
A01,22.442057659694743,15.213491209185504,14_14
A01,20.915771622385527,13.670613562970937,14_16
A01,19.106840022611646,12.127735916756368,14_18
A01,17.410966647823628,10.943667025475422,14_20
A01,142.13075060532688,107.72986167615947,16_1
A01,92.13075060532687,71.80634662327095,16_2
A01,54.29782082324455,42.79902359641986,16_4
A01,43.28087167070218,33.604556550040684,16_6
A01,36.380145278450364,27.66476810414972,16_8
A01,31.113801452784507,22.78275020341741,16_10
A01,26.997578692493946,19.4060211554109,16_12
A01,23.728813559322035,17.24979658258747,16_14
A01,22.21549636803874,15.500406834825062,16_16
A01,20.33898305084746,13.751017087062653,16_18
A01,18.523002421307506,12.40846216436127,16_20
A01,150.4169339320077,119.51219512195121,18_1
A01,97.30596536241181,79.81029810298102,18_2
A01,57.472738935214885,47.60614272809395,18_4
A01,45.47787042976267,37.17253839205058,18_6
A01,38.422065426555484,30.62330623306233,18_8
A01,32.90570878768441,25.293586269196027,18_10
A01,28.54393842206543,21.499548328816623,18_12
A01,24.951892238614494,19.10569105691057,18_14
A01,23.41244387427838,17.208672086720867,18_16
A01,21.55227710070558,15.266485998193316,18_18
A01,19.62796664528544,13.775971093044264,18_20
A01,158.5762711864407,129.20743639921722,20_1
A01,102.03389830508473,85.95890410958904,20_2
A01,60.54237288135593,51.223091976516635,20_4
A01,47.932203389830505,40.31311154598826,20_6
A01,40.47457627118644,32.974559686888455,20_8
A01,34.644067796610166,27.25048923679061,20_10
A01,29.966101694915253,23.140900195694716,20_12
A01,26.305084745762713,20.54794520547945,20_14
A01,24.610169491525426,18.395303326810176,20_16
A01,22.71186440677966,16.34050880626223,20_18
A01,20.74576271186441,14.921722113502936,20_20
A02,0.8474236717685713,0.34644260454673026,1_1
A02,0.5288885327349948,0.2280381700813921,1_2
A02,0.31252504207067877,0.1491018804378333,1_4
A02,0.24240724417020593,0.12629806342969407,1_6
A02,0.2203702219729145,0.1096337356160539,1_8
A02,0.20835002804711916,0.10261717653662644,1_10
A02,0.20233993108422146,0.09823182711198428,1_12
A02,0.1943264684670246,0.09384647768734213,1_14
A02,0.19031973715842615,0.0903381981476284,1_16
A02,0.18230627454122927,0.08682991860791468,1_18
A02,0.18230627454122927,0.08332163906820095,1_20
A02,1.472738667223731,0.4638818099611279,2_1
A02,0.9191560476289952,0.30533992554403355,2_2
A02,0.5431376645080427,0.19964533593263728,2_4
A02,0.4212798551632895,0.16911134337823397,2_6
A02,0.3829816865120813,0.1467980411269392,2_8
A02,0.3620917763386951,0.1374029664948151,2_10
A02,0.3516468212520019,0.13153104484973752,2_12
A02,0.33772021446974443,0.12565912320465997,2_14
A02,0.3307569110786157,0.12096158588859791,2_16
A02,0.31683030429635817,0.11626404857253585,2_18
A02,0.31683030429635817,0.1115665112564738,2_20
A02,6.561191251744998,1.8138402902144464,4_1
A02,4.094927873429502,1.1939201910272306,4_2
A02,2.419730107026524,0.78064012490242,4_4
A02,1.8768419419885218,0.661248105799697,4_6
A02,1.7062199472622928,0.5740000918400147,4_8
A02,1.6131534046843494,0.5372640859622537,4_10
A02,1.5666201333953775,0.5143040822886531,4_12
A02,1.504575771676749,0.4913440786150526,4_14
A02,1.4735535908174344,0.4729760756761721,4_16
A02,1.4115092290988056,0.45460807273729165,4_18
A02,1.4115092290988056,0.4362400697984111,4_20
A02,12.28579726982283,4.103469769374611,6_1
A02,7.667731629392971,2.7010180760440474,6_2
A02,4.530932326459483,1.7660502804903384,6_4
A02,3.5143769968051117,1.495948472885934,6_6
A02,3.1948881789137378,1.2985663827134843,6_8
A02,3.020621550972989,1.2154581342198214,6_10
A02,2.933488237002614,1.163515478911282,6_12
A02,2.8173104850421145,1.1115728236027425,6_14
A02,2.7592216090618646,1.070018699355911,6_16
A02,2.643043857101365,1.0284645751090795,6_18
A02,2.643043857101365,0.9869104508622482,6_20
A02,16.395348837209305,6.741764806280935,8_1
A02,10.232558139534884,4.437617340843147,8_2
A02,6.046511627906977,2.9015190305512886,8_4
A02,4.689922480620155,2.457757296466974,8_6
A02,4.263565891472868,2.133469875405359,8_8
A02,4.0310077519379846,1.9969278033794162,8_10
A02,3.914728682170543,1.911589008363202,8_12
A02,3.7596899224806206,1.8262502133469873,8_14
A02,3.6821705426356592,1.757979177334016,8_16
