well,gfp_mcherry,gfp_nir,para
A01,14.387596899224805,5.2939137324815535,4_4
A01,11.410852713178295,4.120239687020255,4_6
A01,9.565891472868216,3.3823602238399446,4_8
A01,8.170542635658915,2.7930470955281534,4_10
A01,7.0852713178294575,2.3770613578963005,4_12
A01,6.186046511627907,2.109641955132967,4_14
A01,27.525925925925925,11.752943790268828,6_4
A01,21.80740740740741,9.197956009775606,6_6
A01,18.28148148148148,7.553876916240836,6_8
A01,15.614814814814814,6.2319484558986895,6_10
A01,13.540740740740741,5.298822483892468,6_12
A01,11.822222222222223,4.710064430126638,6_14
A01,37.31884057971014,19.045904590459045,8_4
A01,29.508856682769725,14.905490549054907,8_6
A01,24.838969404186795,12.241224122412241,8_8
A01,21.215780998389693,10.099009900990099,8_10
A01,18.397745571658618,8.586858685868586,8_12
A01,16.062801932367147,7.6327632763276325,8_14
A01,43.72335386072951,26.00098863074642,10_4
A01,34.628138323069635,20.415224913494807,10_6
A01,29.133112269066793,16.80672268907563,10_8
A01,24.964471814306016,13.84083044982699,10_10
A01,21.64850781620085,11.789421651013345,10_12
A01,18.900994789199434,10.479485912011864,10_14
A01,47.88732394366197,32.33937903473716,12_4
A01,37.97600417318727,25.391945896095912,12_6
A01,31.820552947313512,20.903781125115277,12_8
A01,27.282211789254042,17.214878573624347,12_10
A01,23.630672926447573,14.663387642176454,12_12
A01,20.81377151799687,13.03412234860129,12_14
A01,51.55455059355568,37.74668101901686,14_4
A01,40.92707744488411,29.637603157517045,14_6
A01,34.36970039570379,24.398995335486187,14_8
A01,29.451667608818543,20.09329027628274,14_10
A01,25.551158846806103,17.115177610333692,14_12
A01,22.442057659694743,15.213491209185504,14_14
A02,2.419730107026524,0.78064012490242,4_4
A02,1.8768419419885218,0.661248105799697,4_6
A02,1.7062199472622928,0.5740000918400147,4_8
A02,1.6131534046843494,0.5372640859622537,4_10
A02,1.5666201333953775,0.5143040822886531,4_12
A02,1.504575771676749,0.4913440786150526,4_14
A02,4.530932326459483,1.7660502804903384,6_4
A02,3.5143769968051117,1.495948472885934,6_6
A02,3.1948881789137378,1.2985663827134843,6_8
A02,3.020621550972989,1.2154581342198214,6_10
A02,2.933488237002614,1.163515478911282,6_12
A02,2.8173104850421145,1.1115728236027425,6_14
A02,6.046511627906977,2.9015190305512886,8_4
A02,4.689922480620155,2.457757296466974,8_6
A02,4.263565891472868,2.133469875405359,8_8
A02,4.0310077519379846,1.9969278033794162,8_10
A02,3.914728682170543,1.911589008363202,8_12
A02,3.7596899224806206,1.8262502133469873,8_14
A02,7.1070615034168565,3.996238834038552,10_4
A02,5.5125284738041,3.385049365303244,10_6
A02,5.0113895216400905,2.938410907381288,10_8
A02,4.738041002277904,2.7503526093088855,10_10
A02,4.601366742596811,2.632816173013634,10_12
A02,4.419134396355353,2.515279736718383,10_14
A02,7.772795216741405,4.969307220111078,12_4
A02,6.028898854010962,4.209295527623502,12_6
A02,5.4808171400099654,3.653902367728734,12_8
A02,5.181863477827604,3.4200526161940954,12_10
A02,5.032386646736422,3.273896521484946,12_12
A02,4.833084205281515,3.1277404267757962,12_14
A02,8.38709677419355,5.807994533652203,14_4
A02,6.505376344086021,4.91971301674069,14_6
A02,5.913978494623656,4.270584215920738,14_8
A02,5.591397849462366,3.9972668261018107,14_10
A02,5.43010752688172,3.8264434574649813,14_12
A02,5.21505376344086,3.6556200888281514,14_14
A03,2.5646203554119547,0.8809088283431212,4_4
A03,2.10016155088853,0.7076152883411957,4_6
A03,1.7568659127625201,0.6354096466737268,4_8
A03,1.6558966074313408,0.5872725522287475,4_10
A03,1.5953150242326333,0.5439491672282661,4_12
A03,1.5145395799676897,0.5246943294502744,4_14
A03,4.6759941089838,2.201371346084446,6_4
A03,3.829160530191458,1.7683146878383256,6_6
A03,3.2032400589101617,1.5878744135691087,6_8
A03,3.0191458026509572,1.4675808973896307,6_10
A03,2.9086892488954343,1.3593167328281006,6_12
A03,2.7614138438880707,1.3111993263563093,6_14
A03,6.201171875,3.8787621873675286,8_4
A03,5.078125,3.115727002967359,8_6
A03,4.248046875,2.7977956761339553,8_8
A03,4.00390625,2.585841458245019,8_10
A03,3.857421875,2.395082662144977,8_12
A03,3.662109375,2.3103009749894023,8_14
A03,7.353792704111176,5.59804221474457,10_4
