well,gfp_mcherry,gfp_nir
A01,1.2253307308609847,0.43668684786809225
A02,0.31683030429635817,0.11626404857253585
A03,0.34780880453145185,0.12579999022912697
A04,0.027071972773330236,0.009000393767227315
A05,0.05631190168604458,0.02163495343076274
A06,0.14883558045876377,0.04043374379709612
A07,2.3417387798145217,0.49206160432895285
A08,2.6019080659150045,0.5004723333266335
A09,0.9712928987696956,0.15081618168914124
A10,0.9999708463310106,0.2504878981148019
A11,2.536207248249133,0.5365542629597103
A12,4.155266757865937,1.0187816203479103
B01,2.519137515630242,1.0610902128921786
B02,0.37867754150888433,0.18812517206570617
B03,0.3760035229158904,0.17530047761507375
B04,0.016458196181698484,0.004664701272530507
B05,0.06172167156809353,0.03511721701375956
B06,0.14375561545372867,0.07104924073650365
B07,2.6859911855636196,0.8999453253143795
B08,2.2984270936658637,0.6346494172209678
B09,0.017684091391384313,0.021911372878979103
B10,2.8865915177181294,0.5913074137462446
B11,3.4663659541086487,0.9611262775534146
B12,2.920578155267471,0.708837352646583
C10,2.2834920476641574,1.1918054274479344
C11,4.366812227074235,1.231757647959835
D01,2.154787708784904,0.9054949660766833
D02,0.25201969051039874,0.09862387435134064
D03,0.016945203448348902,0.013347570742124932
D05,2.4635391624882663,0.8599447650862426
D06,0.03193255843658194,0.0058423890363396595
D07,2.1064899372053785,0.6926948559729292
D08,2.226360646936447,0.7681924304658398
D09,2.1708413615928066,0.631451381432778
D10,3.1264310395070978,0.6975727316175349
D11,2.530944023646776,0.8571248503182706
D12,2.247319187770933,0.7370350569006339
E01,2.88842367319226,0.9254129475736124
E02,0.4897418927862343,0.15239440015153344
E03,2.4133488357477297,0.6014853505264017
E04,2.858966885946651,1.0218922229026333
E05,3.1597821306539466,1.0870131087117227
E07,3.648850195969616,0.7530132125213573
E08,3.2418242773103927,0.9306968086541314
E09,2.107234143731796,0.46925485195188527
E10,1.8498785218021396,0.37512610309601463
E12,1.9011406844106464,0.38282553340943015
F01,2.353147774168057,0.8109684407372777
F02,0.3285917194886689,0.11390901820120694
F03,2.435218356447394,0.6538430453406612
F04,2.554787852886008,0.9784860848690636
F05,1.2057091959766244,0.36138470451911936
F06,1.3701844118061095,0.5881055649489084
F07,3.3423168175431326,0.8061951288063135
F08,2.786761535144459,0.7355572645797958
F09,2.610071183759557,0.7440588355640742
F10,1.9844406539917627,0.6084412641294346
F11,3.878273177636235,1.2347454493158565
F12,0.7739665787159191,0.3444934869200129
G01,3.0496061053668146,1.1978554897833393
G02,0.30045208210484936,0.09356076685176683
G03,0.13375571981696585,0.05785182811776852
G04,2.8092371526714963,0.7149760106733261
G05,2.477030047181525,0.816415284559274
G06,0.05347772318593536,0.029540481400437635
G07,3.163664839467502,0.6821380589853496
G08,4.059394760614273,0.7274275831501004
G09,0.08560486596080198,0.04734963455794867
G10,1.972693765249442,0.37167962832037166
G11,3.279808677827127,0.5391060122816204
G12,2.8469750889679712,0.5478913208395381
H01,2.8432115441636743,1.5914873930141107
H02,0.4591115994349396,0.159846547314578
H03,0.25347434664802027,0.18964717439353837
H04,3.8690662820593213,1.0988553011780395
H05,3.7984267866907837,1.5950609237231363
H06,0.1937626868425909,0.08157619393853412
H07,1.6795865633074936,0.5567613475511937
H08,4.550911273600349,1.1511118098132718
H09,0.12059493501272946,0.06273525721455457
H10,2.128131234759477,0.5243856462281935
H11,3.052140737600678,0.7054018934471877
H12,1.3600644771307675,0.5212626138869706
